City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
343,Pendleton,US,45.67,-118.79,55.99,40,1,4.7,clear sky
344,Pafos,CY,34.77,32.42,75.2,73,40,9.17,scattered clouds
345,Kalmanka,RU,52.9,83.54,37.4,74,40,22.37,scattered clouds
346,Vila Velha,BR,-20.33,-40.29,77.0,83,40,13.87,scattered clouds
347,Yatou,CN,37.15,122.38,53.58,51,87,9.98,overcast clouds
348,Shinshiro,JP,34.9,137.5,53.6,81,40,8.05,scattered clouds
349,Genhe,CN,50.78,121.52,20.14,94,94,6.44,overcast clouds
350,Pangnirtung,CA,66.15,-65.71,14.0,56,20,6.93,few clouds
351,Geraldton,AU,-28.77,114.6,62.6,77,90,11.41,overcast clouds
352,Yulara,AU,-25.24,130.99,60.8,31,0,5.82,clear sky
353,Kargasok,RU,59.06,80.86,27.73,99,100,10.65,light snow
354,Mana,GF,5.66,-53.78,82.08,77,70,10.49,broken clouds
355,Kashi,CN,39.45,75.98,48.2,36,0,8.95,clear sky
356,San Quintin,MX,30.48,-115.95,70.99,22,0,5.1,clear sky
357,Shentala,RU,54.45,51.48,29.73,92,98,1.59,overcast clouds
358,Taoudenni,ML,22.68,-3.98,85.33,15,0,7.94,clear sky
359,Gao,ML,16.64,1.64,83.41,14,0,8.14,clear sky
360,Vestmannaeyjar,IS,63.44,-20.27,41.41,72,28,32.32,scattered clouds
